Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb2', cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='mbconv2_64', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=807663, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 7294
*******
test_loss : 1.8048978637695312, lr : 0.1, test_acc : 0.3807, train_acc : 0.3783, train_loss : 1.4125933647155762, Epoch : 1, 
test_loss : 0.7655439025878906, lr : 0.025, test_acc : 0.7287, train_acc : 0.72822, train_loss : 0.729362428188324, Epoch : 37, 
test_loss : 0.8182538940429688, lr : 0.025, test_acc : 0.7161, train_acc : 0.73344, train_loss : 0.7124159336090088, Epoch : 38, 
test_loss : 0.8019601623535156, lr : 0.025, test_acc : 0.7166, train_acc : 0.73568, train_loss : 0.8763545155525208, Epoch : 39, 
test_loss : 0.8326967529296875, lr : 0.025, test_acc : 0.7123, train_acc : 0.73348, train_loss : 0.7986770868301392, Epoch : 40, 
test_loss : 0.7821382019042968, lr : 0.025, test_acc : 0.7273, train_acc : 0.7365, train_loss : 0.7254791855812073, Epoch : 41, 
test_loss : 0.8494506530761718, lr : 0.025, test_acc : 0.7073, train_acc : 0.7381, train_loss : 0.6948503255844116, Epoch : 42, 
test_loss : 0.7923774963378907, lr : 0.025, test_acc : 0.7224, train_acc : 0.7407, train_loss : 1.1031546592712402, Epoch : 43, 
test_loss : 0.6754250610351562, lr : 0.0125, test_acc : 0.7641, train_acc : 0.76064, train_loss : 0.5585018992424011, Epoch : 44, 
test_loss : 0.67064912109375, lr : 0.0125, test_acc : 0.7646, train_acc : 0.76502, train_loss : 0.4831814169883728, Epoch : 45, 
test_loss : 0.6662345336914063, lr : 0.0125, test_acc : 0.7667, train_acc : 0.7646, train_loss : 0.5903022289276123, Epoch : 46, 
test_loss : 0.7110494934082031, lr : 0.0125, test_acc : 0.7574, train_acc : 0.76986, train_loss : 0.45572566986083984, Epoch : 47, 
test_loss : 0.6972392028808594, lr : 0.0125, test_acc : 0.7585, train_acc : 0.76948, train_loss : 0.7641863822937012, Epoch : 48, 
test_loss : 0.70267880859375, lr : 0.0125, test_acc : 0.7558, train_acc : 0.77258, train_loss : 0.6422795057296753, Epoch : 49, 
test_loss : 0.6624522277832031, lr : 0.0125, test_acc : 0.77, train_acc : 0.7716, train_loss : 0.6976247429847717, Epoch : 50, 
test_loss : 0.7159931091308593, lr : 0.0125, test_acc : 0.7526, train_acc : 0.77028, train_loss : 0.6621439456939697, Epoch : 51, 
test_loss : 0.7118391845703125, lr : 0.0125, test_acc : 0.7518, train_acc : 0.77038, train_loss : 0.6593274474143982, Epoch : 52, 
test_loss : 0.6827792785644531, lr : 0.0125, test_acc : 0.7603, train_acc : 0.77036, train_loss : 0.623451828956604, Epoch : 53, 
test_loss : 0.7219624694824218, lr : 0.0125, test_acc : 0.7484, train_acc : 0.7718, train_loss : 0.8879547119140625, Epoch : 54, 
test_loss : 0.6668243041992188, lr : 0.0125, test_acc : 0.7667, train_acc : 0.77436, train_loss : 0.4990782141685486, Epoch : 55, 
test_loss : 0.6874456115722656, lr : 0.0125, test_acc : 0.7601, train_acc : 0.7742, train_loss : 0.7993878722190857, Epoch : 56, 
