Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=25, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='noBiasBN', nesterov=True, optimizer='sgd', patience=5, pool=[5], resume=None, seed=995059, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37664
*******
test_acc : 0.4042, lr : 0.1, Epoch : 1, test_loss : 1.7921273071289063, train_loss : 1.5831069946289062, train_acc : 0.3718, 
test_acc : 0.7261, lr : 0.0125, Epoch : 43, test_loss : 0.7772800476074219, train_loss : 0.7098591327667236, train_acc : 0.72398, 
test_acc : 0.7154, lr : 0.0125, Epoch : 44, test_loss : 0.8144050354003907, train_loss : 1.0871318578720093, train_acc : 0.7198, 
test_acc : 0.7324, lr : 0.0125, Epoch : 45, test_loss : 0.7610859497070313, train_loss : 0.5796337723731995, train_acc : 0.7252, 
test_acc : 0.7338, lr : 0.0125, Epoch : 46, test_loss : 0.7590216247558593, train_loss : 0.6761918067932129, train_acc : 0.7303, 
test_acc : 0.7227, lr : 0.0125, Epoch : 47, test_loss : 0.7850693969726562, train_loss : 0.8320562243461609, train_acc : 0.7284, 
test_acc : 0.7363, lr : 0.0125, Epoch : 48, test_loss : 0.7502037719726562, train_loss : 0.7519673705101013, train_acc : 0.73142, 
test_acc : 0.7421, lr : 0.0125, Epoch : 49, test_loss : 0.7431244689941406, train_loss : 0.8485546708106995, train_acc : 0.73278, 
test_acc : 0.7355, lr : 0.0125, Epoch : 50, test_loss : 0.7483390625, train_loss : 0.5785889029502869, train_acc : 0.73614, 
test_acc : 0.7368, lr : 0.0125, Epoch : 51, test_loss : 0.7464541137695313, train_loss : 0.8011156320571899, train_acc : 0.7364, 
test_acc : 0.739, lr : 0.0125, Epoch : 52, test_loss : 0.7545142761230469, train_loss : 0.874590277671814, train_acc : 0.7352, 
