Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='singleBN', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=555475, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37822
*******
Namespace(activ='tanh', auto_augment=False, batch_size=80, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='singleBN', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=540335, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37822
*******
Epoch : 1, train_loss : 2.070632219314575, lr : 0.1, test_loss : 5.10758515625, train_acc : 0.2051, test_acc : 0.1, 
Epoch : 32, train_loss : 0.8344958424568176, lr : 0.00625, test_loss : 4.5290458984375, train_acc : 0.68958, test_acc : 0.1371, 
Epoch : 33, train_loss : 1.0138397216796875, lr : 0.00625, test_loss : 3.956612060546875, train_acc : 0.6939, test_acc : 0.1624, 
Epoch : 34, train_loss : 0.962539553642273, lr : 0.00625, test_loss : 4.3418005859375, train_acc : 0.69556, test_acc : 0.1429, 
Epoch : 35, train_loss : 1.105703353881836, lr : 0.003125, test_loss : 3.932961328125, train_acc : 0.71438, test_acc : 0.1663, 
Epoch : 36, train_loss : 0.8141635060310364, lr : 0.003125, test_loss : 4.60423134765625, train_acc : 0.71968, test_acc : 0.1733, 
Epoch : 37, train_loss : 0.6948291063308716, lr : 0.003125, test_loss : 3.9248647705078126, train_acc : 0.72176, test_acc : 0.1655, 
Epoch : 38, train_loss : 0.9008225202560425, lr : 0.003125, test_loss : 5.28372333984375, train_acc : 0.72324, test_acc : 0.1366, 
Epoch : 39, train_loss : 0.4759155809879303, lr : 0.003125, test_loss : 4.129406079101562, train_acc : 0.72652, test_acc : 0.1744, 
Epoch : 40, train_loss : 0.8908893465995789, lr : 0.003125, test_loss : 4.37781044921875, train_acc : 0.72888, test_acc : 0.1556, 
Epoch : 41, train_loss : 0.6810634136199951, lr : 0.0015625, test_loss : 4.37532333984375, train_acc : 0.74256, test_acc : 0.1649, 
Epoch : 42, train_loss : 0.8507438898086548, lr : 0.0015625, test_loss : 5.1799341796875, train_acc : 0.74452, test_acc : 0.1298, 
Epoch : 43, train_loss : 0.7401210069656372, lr : 0.0015625, test_loss : 3.8786602783203126, train_acc : 0.74416, test_acc : 0.1536, 
Epoch : 44, train_loss : 0.5942900776863098, lr : 0.0015625, test_loss : 5.463760205078125, train_acc : 0.74718, test_acc : 0.128, 
Epoch : 45, train_loss : 0.7162792086601257, lr : 0.0015625, test_loss : 4.99862822265625, train_acc : 0.74808, test_acc : 0.1505, 
Epoch : 46, train_loss : 0.7619093656539917, lr : 0.0015625, test_loss : 5.36488818359375, train_acc : 0.7487, test_acc : 0.1366, 
Epoch : 47, train_loss : 0.6603484749794006, lr : 0.00078125, test_loss : 4.391231640625, train_acc : 0.7572, test_acc : 0.1607, 
Epoch : 48, train_loss : 0.785855233669281, lr : 0.00078125, test_loss : 5.460953759765625, train_acc : 0.75892, test_acc : 0.1392, 
Epoch : 49, train_loss : 0.9999386072158813, lr : 0.00078125, test_loss : 4.655637939453125, train_acc : 0.762, test_acc : 0.1556, 
Epoch : 50, train_loss : 0.5072282552719116, lr : 0.00078125, test_loss : 5.050449609375, train_acc : 0.76324, test_acc : 0.1559, 
Epoch : 51, train_loss : 0.5022106170654297, lr : 0.00078125, test_loss : 4.855028369140625, train_acc : 0.75856, test_acc : 0.146, 
Epoch : 52, train_loss : 0.6391438245773315, lr : 0.00078125, test_loss : 4.691439306640625, train_acc : 0.76592, test_acc : 0.1469, 
Epoch : 53, train_loss : 0.6877568960189819, lr : 0.000390625, test_loss : 5.35989462890625, train_acc : 0.76972, test_acc : 0.1472, 
Epoch : 54, train_loss : 0.5965021848678589, lr : 0.000390625, test_loss : 5.335872119140625, train_acc : 0.76742, test_acc : 0.1476, 
Epoch : 55, train_loss : 0.6933881044387817, lr : 0.000390625, test_loss : 5.150345263671875, train_acc : 0.77156, test_acc : 0.1459, 
Epoch : 56, train_loss : 0.5459680557250977, lr : 0.000390625, test_loss : 5.281898291015625, train_acc : 0.7709, test_acc : 0.1477, 
Epoch : 57, train_loss : 0.6838203072547913, lr : 0.000390625, test_loss : 5.41050654296875, train_acc : 0.77124, test_acc : 0.1429, 
Epoch : 58, train_loss : 0.5856596231460571, lr : 0.000390625, test_loss : 5.18696484375, train_acc : 0.7706, test_acc : 0.1517, 
Epoch : 59, train_loss : 0.7096744775772095, lr : 0.0001953125, test_loss : 5.4126474609375, train_acc : 0.7749, test_acc : 0.1496, 
Epoch : 60, train_loss : 0.7537763714790344, lr : 0.0001953125, test_loss : 5.0853173828125, train_acc : 0.7769, test_acc : 0.1528, 
Epoch : 61, train_loss : 0.6683932542800903, lr : 0.0001953125, test_loss : 5.196634912109375, train_acc : 0.7738, test_acc : 0.1513, 
Epoch : 62, train_loss : 0.704132616519928, lr : 0.0001953125, test_loss : 5.4370533203125, train_acc : 0.77696, test_acc : 0.1408, 
Epoch : 63, train_loss : 0.6832614541053772, lr : 0.0001953125, test_loss : 5.39199375, train_acc : 0.7756, test_acc : 0.1403, 
Epoch : 64, train_loss : 0.6130651235580444, lr : 0.0001953125, test_loss : 5.010542138671875, train_acc : 0.77452, test_acc : 0.148, 
Epoch : 65, train_loss : 0.6020818948745728, lr : 9.765625e-05, test_loss : 4.72326064453125, train_acc : 0.7787, test_acc : 0.156, 
Epoch : 66, train_loss : 0.6565192937850952, lr : 9.765625e-05, test_loss : 5.08299169921875, train_acc : 0.77748, test_acc : 0.1504, 
Epoch : 67, train_loss : 0.7044955492019653, lr : 9.765625e-05, test_loss : 5.37680927734375, train_acc : 0.77766, test_acc : 0.151, 
Epoch : 68, train_loss : 0.6648030281066895, lr : 9.765625e-05, test_loss : 5.22615927734375, train_acc : 0.77664, test_acc : 0.154, 
Epoch : 69, train_loss : 0.7762855291366577, lr : 9.765625e-05, test_loss : 5.490928759765625, train_acc : 0.7795, test_acc : 0.1442, 
Epoch : 70, train_loss : 0.4196047782897949, lr : 9.765625e-05, test_loss : 5.3744609375, train_acc : 0.7792, test_acc : 0.1496, 
Epoch : 71, train_loss : 0.6652326583862305, lr : 4.8828125e-05, test_loss : 5.595519384765625, train_acc : 0.77928, test_acc : 0.1522, 
Epoch : 72, train_loss : 0.5855547189712524, lr : 4.8828125e-05, test_loss : 5.111522216796875, train_acc : 0.78024, test_acc : 0.1524, 
Epoch : 73, train_loss : 0.6103728413581848, lr : 4.8828125e-05, test_loss : 5.001054541015625, train_acc : 0.77832, test_acc : 0.1501, 
Epoch : 74, train_loss : 0.7472095489501953, lr : 4.8828125e-05, test_loss : 5.30034990234375, train_acc : 0.7804, test_acc : 0.1466, 
Epoch : 75, train_loss : 0.6296615600585938, lr : 4.8828125e-05, test_loss : 5.508432958984375, train_acc : 0.77974, test_acc : 0.1506, 
Epoch : 76, train_loss : 0.6875048875808716, lr : 4.8828125e-05, test_loss : 5.804390673828125, train_acc : 0.77808, test_acc : 0.1341, 
Epoch : 77, train_loss : 0.7759644985198975, lr : 2.44140625e-05, test_loss : 5.11069912109375, train_acc : 0.7803, test_acc : 0.1518, 
Epoch : 78, train_loss : 0.698724091053009, lr : 2.44140625e-05, test_loss : 5.33204677734375, train_acc : 0.78006, test_acc : 0.1526, 
Epoch : 79, train_loss : 0.6603924036026001, lr : 2.44140625e-05, test_loss : 5.398877490234375, train_acc : 0.78014, test_acc : 0.1532, 
Namespace(activ='tanh', auto_augment=False, batch_size=80, bias=False, checkpoint_freq=0, cutout=0, dataset='cifar10', epochs=200, gamma=0.5, history=5, iter=30, lr=0.1, min_lr=1e-05, model='resthrifty', momentum=0.9, name='singleBN', nesterov=True, optimizer='sgd', patience=5, pool=[6], resume=None, seed=981085, size=64, test_batch_size=1000, weight_decay=0.0005)Parameters : 37694
*******
lr : 0.1, test_acc : 0.3202, train_loss : 1.8400453329086304, test_loss : 2.0302663818359377, Epoch : 1, train_acc : 0.27646, 
lr : 0.1, test_acc : 0.3988, train_loss : 1.6143556833267212, test_loss : 1.7353260131835937, Epoch : 2, train_acc : 0.34678, 
lr : 0.1, test_acc : 0.4143, train_loss : 1.7015193700790405, test_loss : 1.7437467407226563, Epoch : 3, train_acc : 0.37836, 
lr : 0.1, test_acc : 0.4826, train_loss : 1.3720674514770508, test_loss : 1.4400034301757811, Epoch : 4, train_acc : 0.4113, 
lr : 0.1, test_acc : 0.4624, train_loss : 1.752698302268982, test_loss : 1.5110934692382811, Epoch : 5, train_acc : 0.43296, 
lr : 0.1, test_acc : 0.4472, train_loss : 1.7474809885025024, test_loss : 1.5711350952148437, Epoch : 6, train_acc : 0.45306, 
lr : 0.1, test_acc : 0.5186, train_loss : 1.1937930583953857, test_loss : 1.3428498779296876, Epoch : 7, train_acc : 0.46918, 
lr : 0.1, test_acc : 0.4924, train_loss : 1.4171593189239502, test_loss : 1.4142571411132812, Epoch : 8, train_acc : 0.48342, 
lr : 0.1, test_acc : 0.4748, train_loss : 1.5847766399383545, test_loss : 1.5307095825195312, Epoch : 9, train_acc : 0.49072, 
lr : 0.1, test_acc : 0.5198, train_loss : 1.5449683666229248, test_loss : 1.3239388305664062, Epoch : 10, train_acc : 0.48816, 
lr : 0.1, test_acc : 0.5397, train_loss : 1.5515382289886475, test_loss : 1.2799725463867186, Epoch : 11, train_acc : 0.50604, 
lr : 0.1, test_acc : 0.4878, train_loss : 1.4388599395751953, test_loss : 1.4522454711914063, Epoch : 12, train_acc : 0.50586, 
lr : 0.1, test_acc : 0.5004, train_loss : 1.5448260307312012, test_loss : 1.4053265991210937, Epoch : 13, train_acc : 0.50526, 
lr : 0.1, test_acc : 0.5021, train_loss : 1.5417404174804688, test_loss : 1.3811591064453126, Epoch : 14, train_acc : 0.51266, 
lr : 0.1, test_acc : 0.5528, train_loss : 1.5237704515457153, test_loss : 1.2518851928710937, Epoch : 15, train_acc : 0.52216, 
lr : 0.1, test_acc : 0.5083, train_loss : 1.5353195667266846, test_loss : 1.3823975463867189, Epoch : 16, train_acc : 0.5159, 
lr : 0.1, test_acc : 0.5464, train_loss : 1.400938630104065, test_loss : 1.2897146728515625, Epoch : 17, train_acc : 0.52708, 
lr : 0.1, test_acc : 0.5387, train_loss : 1.1620657444000244, test_loss : 1.3233343139648437, Epoch : 18, train_acc : 0.52634, 
lr : 0.1, test_acc : 0.534, train_loss : 1.2414653301239014, test_loss : 1.3048107421875, Epoch : 19, train_acc : 0.52296, 
lr : 0.1, test_acc : 0.4467, train_loss : 2.165790319442749, test_loss : 1.7032840087890626, Epoch : 20, train_acc : 0.51856, 
lr : 0.1, test_acc : 0.4706, train_loss : 1.3812402486801147, test_loss : 1.5311400146484375, Epoch : 21, train_acc : 0.521, 
lr : 0.05, test_acc : 0.6172, train_loss : 1.027190923690796, test_loss : 1.0947248657226563, Epoch : 22, train_acc : 0.59232, 
lr : 0.05, test_acc : 0.6029, train_loss : 1.1642814874649048, test_loss : 1.1254274780273437, Epoch : 23, train_acc : 0.6114, 
lr : 0.05, test_acc : 0.638, train_loss : 0.9982531666755676, test_loss : 1.0196208862304688, Epoch : 24, train_acc : 0.62418, 
lr : 0.05, test_acc : 0.6202, train_loss : 0.9787037968635559, test_loss : 1.0882484619140624, Epoch : 25, train_acc : 0.63474, 
lr : 0.05, test_acc : 0.6508, train_loss : 0.7551785707473755, test_loss : 0.9965587219238281, Epoch : 26, train_acc : 0.63564, 
lr : 0.05, test_acc : 0.6186, train_loss : 1.0100243091583252, test_loss : 1.062440887451172, Epoch : 27, train_acc : 0.6314, 
lr : 0.05, test_acc : 0.6563, train_loss : 1.0063917636871338, test_loss : 0.9728672180175781, Epoch : 28, train_acc : 0.64008, 
lr : 0.05, test_acc : 0.6384, train_loss : 1.1052329540252686, test_loss : 1.029134356689453, Epoch : 29, train_acc : 0.6436, 
lr : 0.05, test_acc : 0.6433, train_loss : 1.2778058052062988, test_loss : 1.0197694396972656, Epoch : 30, train_acc : 0.64276, 
lr : 0.05, test_acc : 0.6478, train_loss : 0.9006897807121277, test_loss : 0.9942333129882812, Epoch : 31, train_acc : 0.64848, 
lr : 0.05, test_acc : 0.6389, train_loss : 1.1634920835494995, test_loss : 1.0212693725585937, Epoch : 32, train_acc : 0.64996, 
lr : 0.05, test_acc : 0.6429, train_loss : 1.3003872632980347, test_loss : 1.0108388732910156, Epoch : 33, train_acc : 0.64342, 
lr : 0.05, test_acc : 0.643, train_loss : 1.0792049169540405, test_loss : 1.0175776916503907, Epoch : 34, train_acc : 0.63416, 
lr : 0.025, test_acc : 0.6913, train_loss : 0.9475603103637695, test_loss : 0.884675830078125, Epoch : 35, train_acc : 0.68414, 
lr : 0.025, test_acc : 0.6933, train_loss : 0.97077476978302, test_loss : 0.8692693115234374, Epoch : 36, train_acc : 0.69236, 
lr : 0.025, test_acc : 0.6995, train_loss : 0.6351639628410339, test_loss : 0.8543795593261718, Epoch : 37, train_acc : 0.70008, 
lr : 0.025, test_acc : 0.7046, train_loss : 1.0603277683258057, test_loss : 0.8370323913574219, Epoch : 38, train_acc : 0.70312, 
lr : 0.025, test_acc : 0.7019, train_loss : 0.798445999622345, test_loss : 0.8655598693847656, Epoch : 39, train_acc : 0.70232, 
lr : 0.025, test_acc : 0.6928, train_loss : 0.8933418989181519, test_loss : 0.8659575988769531, Epoch : 40, train_acc : 0.70816, 
lr : 0.025, test_acc : 0.691, train_loss : 0.9715191721916199, test_loss : 0.872128662109375, Epoch : 41, train_acc : 0.71022, 
lr : 0.025, test_acc : 0.7197, train_loss : 1.033052921295166, test_loss : 0.8073878173828125, Epoch : 42, train_acc : 0.7118, 
lr : 0.025, test_acc : 0.7112, train_loss : 0.8925932049751282, test_loss : 0.82263076171875, Epoch : 43, train_acc : 0.71184, 
lr : 0.025, test_acc : 0.723, train_loss : 0.6954188942909241, test_loss : 0.788055224609375, Epoch : 44, train_acc : 0.71746, 
lr : 0.025, test_acc : 0.7149, train_loss : 0.867867112159729, test_loss : 0.821825, Epoch : 45, train_acc : 0.7147, 
lr : 0.025, test_acc : 0.7035, train_loss : 0.854174792766571, test_loss : 0.8390328125, Epoch : 46, train_acc : 0.7201, 
lr : 0.025, test_acc : 0.7156, train_loss : 0.8945852518081665, test_loss : 0.8159530700683594, Epoch : 47, train_acc : 0.72194, 
lr : 0.025, test_acc : 0.7041, train_loss : 0.823593258857727, test_loss : 0.8446471008300781, Epoch : 48, train_acc : 0.7212, 
lr : 0.025, test_acc : 0.7106, train_loss : 0.791669487953186, test_loss : 0.82182490234375, Epoch : 49, train_acc : 0.72148, 
lr : 0.025, test_acc : 0.7132, train_loss : 0.6739358305931091, test_loss : 0.8319990356445313, Epoch : 50, train_acc : 0.72146, 
lr : 0.0125, test_acc : 0.7559, train_loss : 0.6277364492416382, test_loss : 0.7069239440917969, Epoch : 51, train_acc : 0.75388, 
lr : 0.0125, test_acc : 0.7515, train_loss : 0.7696166038513184, test_loss : 0.7113312927246094, Epoch : 52, train_acc : 0.75716, 
lr : 0.0125, test_acc : 0.7519, train_loss : 0.6898818612098694, test_loss : 0.72589150390625, Epoch : 53, train_acc : 0.76102, 
lr : 0.0125, test_acc : 0.763, train_loss : 0.6080529689788818, test_loss : 0.6944977355957032, Epoch : 54, train_acc : 0.7616, 
lr : 0.0125, test_acc : 0.7668, train_loss : 0.625589907169342, test_loss : 0.6819517700195312, Epoch : 55, train_acc : 0.7648, 
lr : 0.0125, test_acc : 0.752, train_loss : 0.6244797706604004, test_loss : 0.7097695068359375, Epoch : 56, train_acc : 0.76744, 
lr : 0.0125, test_acc : 0.7677, train_loss : 0.7017046213150024, test_loss : 0.6756599975585937, Epoch : 57, train_acc : 0.76928, 
lr : 0.0125, test_acc : 0.7621, train_loss : 0.5006003379821777, test_loss : 0.6885820678710938, Epoch : 58, train_acc : 0.7677, 
lr : 0.0125, test_acc : 0.7674, train_loss : 0.7039974331855774, test_loss : 0.6724089416503907, Epoch : 59, train_acc : 0.77132, 
lr : 0.0125, test_acc : 0.7634, train_loss : 0.7677316069602966, test_loss : 0.6830424499511719, Epoch : 60, train_acc : 0.77052, 
lr : 0.0125, test_acc : 0.7715, train_loss : 0.716971218585968, test_loss : 0.6604609680175781, Epoch : 61, train_acc : 0.77036, 
lr : 0.0125, test_acc : 0.7658, train_loss : 0.6891239285469055, test_loss : 0.6816237426757813, Epoch : 62, train_acc : 0.77054, 
lr : 0.0125, test_acc : 0.7652, train_loss : 0.6663819551467896, test_loss : 0.6770406372070312, Epoch : 63, train_acc : 0.76982, 
lr : 0.0125, test_acc : 0.7693, train_loss : 0.7160604596138, test_loss : 0.6715451416015625, Epoch : 64, train_acc : 0.77208, 
lr : 0.0125, test_acc : 0.7578, train_loss : 0.74903404712677, test_loss : 0.6955044311523437, Epoch : 65, train_acc : 0.76986, 
lr : 0.0125, test_acc : 0.7665, train_loss : 0.9504741430282593, test_loss : 0.6682716125488282, Epoch : 66, train_acc : 0.77314, 
lr : 0.0125, test_acc : 0.7706, train_loss : 0.7952812910079956, test_loss : 0.6652427185058594, Epoch : 67, train_acc : 0.77144, 
lr : 0.00625, test_acc : 0.7866, train_loss : 0.6427059173583984, test_loss : 0.6150765014648437, Epoch : 68, train_acc : 0.79446, 
lr : 0.00625, test_acc : 0.7845, train_loss : 0.5590653419494629, test_loss : 0.6163984680175781, Epoch : 69, train_acc : 0.79894, 
lr : 0.00625, test_acc : 0.794, train_loss : 0.5581817626953125, test_loss : 0.6077146423339844, Epoch : 70, train_acc : 0.80126, 
lr : 0.00625, test_acc : 0.7833, train_loss : 0.6120551824569702, test_loss : 0.6219632385253906, Epoch : 71, train_acc : 0.79972, 
lr : 0.00625, test_acc : 0.7912, train_loss : 0.7270846366882324, test_loss : 0.6051942810058594, Epoch : 72, train_acc : 0.80286, 
lr : 0.00625, test_acc : 0.7968, train_loss : 0.6931711435317993, test_loss : 0.5855340454101563, Epoch : 73, train_acc : 0.80344, 
lr : 0.00625, test_acc : 0.7922, train_loss : 0.743191123008728, test_loss : 0.6027147277832031, Epoch : 74, train_acc : 0.80638, 
lr : 0.00625, test_acc : 0.7845, train_loss : 0.5214009284973145, test_loss : 0.6179879943847656, Epoch : 75, train_acc : 0.80278, 
lr : 0.00625, test_acc : 0.7917, train_loss : 0.6594045758247375, test_loss : 0.5989127197265625, Epoch : 76, train_acc : 0.80388, 
lr : 0.00625, test_acc : 0.801, train_loss : 0.5754888653755188, test_loss : 0.5928111450195312, Epoch : 77, train_acc : 0.80408, 
lr : 0.00625, test_acc : 0.8004, train_loss : 0.4415976405143738, test_loss : 0.5880592956542968, Epoch : 78, train_acc : 0.80458, 
