Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool2_40K', nesterov=True, optimizer='sgd', out_mode='pool', patience=7, pool=[10], resume=None, seed=525383, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 2.8542696555455525, train_loss : 1.8946313858032227, train_acc(top1) : 22.18400001525879, test_loss : 2.119288090515137, test_acc(top1) : 20.309999465942383, 
Epoch : 39, lr : 0.1, epoch_time : 2.849408984184265, train_loss : 0.6139716506004333, train_acc(top1) : 78.12000274658203, test_loss : 0.7442370803833008, test_acc(top1) : 74.27999877929688, 
Epoch : 40, lr : 0.1, epoch_time : 2.8445767402648925, train_loss : 0.5923634767532349, train_acc(top1) : 78.55599975585938, test_loss : 0.7724583095550537, test_acc(top1) : 72.72000122070312, 
Epoch : 41, lr : 0.1, epoch_time : 2.846464471022288, train_loss : 0.61302250623703, train_acc(top1) : 78.25599670410156, test_loss : 0.6935661766052246, test_acc(top1) : 75.45999908447266, 
Epoch : 42, lr : 0.1, epoch_time : 2.845975732803345, train_loss : 0.7712974548339844, train_acc(top1) : 78.46199798583984, test_loss : 0.9884545608520507, test_acc(top1) : 71.26000213623047, 
Epoch : 43, lr : 0.1, epoch_time : 2.8480960210164388, train_loss : 0.6325578093528748, train_acc(top1) : 79.06999969482422, test_loss : 0.7749877017974853, test_acc(top1) : 72.87000274658203, 
Epoch : 44, lr : 0.1, epoch_time : 2.8503657499949138, train_loss : 0.7195703387260437, train_acc(top1) : 78.68199920654297, test_loss : 1.0913386589050293, test_acc(top1) : 61.290000915527344, 
Epoch : 45, lr : 0.1, epoch_time : 2.845760941505432, train_loss : 0.5966489315032959, train_acc(top1) : 78.53199768066406, test_loss : 0.7321983638763427, test_acc(top1) : 74.3499984741211, 
Epoch : 46, lr : 0.1, epoch_time : 2.8478331724802652, train_loss : 0.387491375207901, train_acc(top1) : 79.0459976196289, test_loss : 0.8863450542449951, test_acc(top1) : 69.81999969482422, 
Epoch : 47, lr : 0.05, epoch_time : 2.8505528291066486, train_loss : 0.554398238658905, train_acc(top1) : 83.7020034790039, test_loss : 0.5287941608428955, test_acc(top1) : 81.97000122070312, 
Epoch : 48, lr : 0.05, epoch_time : 2.8542113383611043, train_loss : 0.48470446467399597, train_acc(top1) : 84.1259994506836, test_loss : 0.5024494443893432, test_acc(top1) : 82.98999786376953, 
Epoch : 49, lr : 0.05, epoch_time : 2.8457323710123696, train_loss : 0.3594990074634552, train_acc(top1) : 84.41999816894531, test_loss : 0.559204852104187, test_acc(top1) : 81.19999694824219, 
Epoch : 50, lr : 0.05, epoch_time : 2.845877214272817, train_loss : 0.4788055419921875, train_acc(top1) : 84.6259994506836, test_loss : 0.6498747303009034, test_acc(top1) : 79.02999877929688, 
Epoch : 51, lr : 0.05, epoch_time : 2.85298802057902, train_loss : 0.3467581272125244, train_acc(top1) : 84.28600311279297, test_loss : 0.6492524757385254, test_acc(top1) : 77.69999694824219, 
Epoch : 52, lr : 0.05, epoch_time : 2.8505635976791384, train_loss : 0.28856584429740906, train_acc(top1) : 84.47200012207031, test_loss : 0.5470504047393799, test_acc(top1) : 81.41999816894531, 
Epoch : 53, lr : 0.05, epoch_time : 2.8510398983955385, train_loss : 0.40179312229156494, train_acc(top1) : 84.50199890136719, test_loss : 0.48951877098083496, test_acc(top1) : 83.05999755859375, 
Epoch : 54, lr : 0.05, epoch_time : 2.8464784065882367, train_loss : 0.4149723947048187, train_acc(top1) : 84.43599700927734, test_loss : 0.6623529335021973, test_acc(top1) : 78.44000244140625, 
Epoch : 55, lr : 0.05, epoch_time : 2.8553857445716857, train_loss : 0.34735000133514404, train_acc(top1) : 84.68000030517578, test_loss : 0.6161146858215332, test_acc(top1) : 78.18000030517578, 
Epoch : 56, lr : 0.05, epoch_time : 2.852117578188578, train_loss : 0.38720738887786865, train_acc(top1) : 84.74800109863281, test_loss : 0.5546533149719238, test_acc(top1) : 80.76000213623047, 
Epoch : 57, lr : 0.05, epoch_time : 2.850941320260366, train_loss : 0.4551575481891632, train_acc(top1) : 84.56199645996094, test_loss : 0.6005118907928467, test_acc(top1) : 79.38999938964844, 
Epoch : 58, lr : 0.05, epoch_time : 2.849018025398254, train_loss : 0.47257664799690247, train_acc(top1) : 84.58999633789062, test_loss : 0.6284773048400879, test_acc(top1) : 78.0999984741211, 
Epoch : 59, lr : 0.05, epoch_time : 2.852473723888397, train_loss : 0.6056399345397949, train_acc(top1) : 85.01799774169922, test_loss : 0.5331595134735108, test_acc(top1) : 81.66999816894531, 
Epoch : 60, lr : 0.05, epoch_time : 2.8607968211174013, train_loss : 0.47865331172943115, train_acc(top1) : 85.052001953125, test_loss : 0.4976221908569336, test_acc(top1) : 82.80999755859375, 
Epoch : 61, lr : 0.05, epoch_time : 2.8506070892016093, train_loss : 0.4397898018360138, train_acc(top1) : 85.08399963378906, test_loss : 0.5870811628341674, test_acc(top1) : 80.16000366210938, 
Epoch : 62, lr : 0.025, epoch_time : 2.850759947299957, train_loss : 0.3550555109977722, train_acc(top1) : 88.2020034790039, test_loss : 0.40253362655639646, test_acc(top1) : 86.19999694824219, 
Epoch : 63, lr : 0.025, epoch_time : 2.8488982637723286, train_loss : 0.27725696563720703, train_acc(top1) : 88.48600006103516, test_loss : 0.4154593372344971, test_acc(top1) : 86.02999877929688, 
Epoch : 64, lr : 0.025, epoch_time : 2.8537177125612896, train_loss : 0.4697895050048828, train_acc(top1) : 88.48999786376953, test_loss : 0.3675182584762573, test_acc(top1) : 87.23999786376953, 
Epoch : 65, lr : 0.025, epoch_time : 2.8485026876131694, train_loss : 0.3677065670490265, train_acc(top1) : 88.7760009765625, test_loss : 0.39970754070281983, test_acc(top1) : 85.87000274658203, 
Epoch : 66, lr : 0.025, epoch_time : 2.848019520441691, train_loss : 0.3629503548145294, train_acc(top1) : 88.38999938964844, test_loss : 0.450627170753479, test_acc(top1) : 85.38999938964844, 
Epoch : 67, lr : 0.025, epoch_time : 2.845560371875763, train_loss : 0.22152858972549438, train_acc(top1) : 88.65399932861328, test_loss : 0.41057438526153567, test_acc(top1) : 85.94000244140625, 
Epoch : 68, lr : 0.025, epoch_time : 2.8526752392450967, train_loss : 0.288974791765213, train_acc(top1) : 88.80000305175781, test_loss : 0.4204697217941284, test_acc(top1) : 86.0199966430664, 
Epoch : 69, lr : 0.025, epoch_time : 2.8492135365804034, train_loss : 0.3475090265274048, train_acc(top1) : 88.77799987792969, test_loss : 0.40451427898406983, test_acc(top1) : 85.88999938964844, 
Epoch : 70, lr : 0.025, epoch_time : 2.8498974959055583, train_loss : 0.3664001524448395, train_acc(top1) : 88.52200317382812, test_loss : 0.38632686443328856, test_acc(top1) : 86.55000305175781, 
Epoch : 71, lr : 0.025, epoch_time : 2.848523485660553, train_loss : 0.284227192401886, train_acc(top1) : 88.33399963378906, test_loss : 0.4232317764282227, test_acc(top1) : 85.70999908447266, 
Epoch : 72, lr : 0.025, epoch_time : 2.849811923503876, train_loss : 0.24577441811561584, train_acc(top1) : 88.80999755859375, test_loss : 0.42670392227172854, test_acc(top1) : 85.69000244140625, 
Epoch : 73, lr : 0.0125, epoch_time : 2.8486575444539386, train_loss : 0.2526635527610779, train_acc(top1) : 90.79000091552734, test_loss : 0.3232295266151428, test_acc(top1) : 88.95999908447266, 
Epoch : 74, lr : 0.0125, epoch_time : 2.844432453314463, train_loss : 0.25223633646965027, train_acc(top1) : 91.24400329589844, test_loss : 0.3475989860534668, test_acc(top1) : 88.44999694824219, 
Epoch : 75, lr : 0.0125, epoch_time : 2.8563690980275473, train_loss : 0.11841419339179993, train_acc(top1) : 91.31400299072266, test_loss : 0.3314719408035278, test_acc(top1) : 88.94000244140625, 
Epoch : 76, lr : 0.0125, epoch_time : 2.8473511815071104, train_loss : 0.21472305059432983, train_acc(top1) : 91.37200164794922, test_loss : 0.3452901578903198, test_acc(top1) : 87.94000244140625, 
Epoch : 77, lr : 0.0125, epoch_time : 2.8464542547861735, train_loss : 0.2867591381072998, train_acc(top1) : 91.30000305175781, test_loss : 0.3961178482055664, test_acc(top1) : 87.26000213623047, 
Epoch : 78, lr : 0.0125, epoch_time : 2.845274480183919, train_loss : 0.20938435196876526, train_acc(top1) : 91.47599792480469, test_loss : 0.3487521909713745, test_acc(top1) : 88.45999908447266, 
Epoch : 79, lr : 0.0125, epoch_time : 2.852309075991313, train_loss : 0.2623971402645111, train_acc(top1) : 91.35199737548828, test_loss : 0.38880259284973145, test_acc(top1) : 86.9000015258789, 
Epoch : 80, lr : 0.0125, epoch_time : 2.847804570198059, train_loss : 0.37203294038772583, train_acc(top1) : 91.36599731445312, test_loss : 0.35249724531173704, test_acc(top1) : 88.05000305175781, 
Epoch : 81, lr : 0.0125, epoch_time : 2.8516285459200543, train_loss : 0.19298496842384338, train_acc(top1) : 91.40399932861328, test_loss : 0.42438288526535034, test_acc(top1) : 85.83000183105469, 
Epoch : 82, lr : 0.00625, epoch_time : 2.847458346684774, train_loss : 0.12576067447662354, train_acc(top1) : 92.98799896240234, test_loss : 0.3088221220970154, test_acc(top1) : 89.76000213623047, 
Epoch : 83, lr : 0.00625, epoch_time : 2.8613487601280214, train_loss : 0.20542383193969727, train_acc(top1) : 93.23400115966797, test_loss : 0.305026459312439, test_acc(top1) : 89.76000213623047, 
Epoch : 84, lr : 0.00625, epoch_time : 2.8581493377685545, train_loss : 0.1517484039068222, train_acc(top1) : 93.14600372314453, test_loss : 0.31710470876693725, test_acc(top1) : 89.43000030517578, 
Epoch : 85, lr : 0.00625, epoch_time : 2.8486445903778077, train_loss : 0.11165408790111542, train_acc(top1) : 93.34400177001953, test_loss : 0.3217529066085815, test_acc(top1) : 89.38999938964844, 
Epoch : 86, lr : 0.00625, epoch_time : 2.848784025510152, train_loss : 0.16438990831375122, train_acc(top1) : 93.28600311279297, test_loss : 0.3201718439102173, test_acc(top1) : 89.63999938964844, 
Epoch : 87, lr : 0.00625, epoch_time : 2.8476502299308777, train_loss : 0.20168311893939972, train_acc(top1) : 93.40799713134766, test_loss : 0.3282916637420654, test_acc(top1) : 89.55999755859375, 
Epoch : 88, lr : 0.00625, epoch_time : 2.852140792210897, train_loss : 0.16839022934436798, train_acc(top1) : 93.27400207519531, test_loss : 0.31899090414047243, test_acc(top1) : 89.2300033569336, 
Epoch : 89, lr : 0.00625, epoch_time : 2.8497734546661375, train_loss : 0.17951633036136627, train_acc(top1) : 93.40599822998047, test_loss : 0.36938855743408205, test_acc(top1) : 88.4000015258789, 
Epoch : 90, lr : 0.00625, epoch_time : 2.8495350956916807, train_loss : 0.20355232059955597, train_acc(top1) : 93.50800323486328, test_loss : 0.3163333099365234, test_acc(top1) : 89.5, 
Epoch : 91, lr : 0.00625, epoch_time : 2.858974285920461, train_loss : 0.1584206223487854, train_acc(top1) : 93.4260025024414, test_loss : 0.34200128927230833, test_acc(top1) : 89.23999786376953, 
Epoch : 92, lr : 0.003125, epoch_time : 2.8482985695203147, train_loss : 0.17932769656181335, train_acc(top1) : 94.51599884033203, test_loss : 0.3032522005081177, test_acc(top1) : 89.98999786376953, 
Epoch : 93, lr : 0.003125, epoch_time : 2.8473833084106444, train_loss : 0.15565331280231476, train_acc(top1) : 94.61199951171875, test_loss : 0.3210427686214447, test_acc(top1) : 89.98999786376953, 
Epoch : 94, lr : 0.003125, epoch_time : 2.8499519427617392, train_loss : 0.1828104555606842, train_acc(top1) : 94.68800354003906, test_loss : 0.3158880094528198, test_acc(top1) : 89.94999694824219, 
Epoch : 95, lr : 0.003125, epoch_time : 2.8468798915545146, train_loss : 0.23175755143165588, train_acc(top1) : 94.63200378417969, test_loss : 0.3312758291244507, test_acc(top1) : 89.72000122070312, 
Epoch : 96, lr : 0.003125, epoch_time : 2.852643346786499, train_loss : 0.19600917398929596, train_acc(top1) : 94.63600158691406, test_loss : 0.32413625354766845, test_acc(top1) : 89.54000091552734, 
Epoch : 97, lr : 0.003125, epoch_time : 2.847560652097066, train_loss : 0.16777664422988892, train_acc(top1) : 94.83000183105469, test_loss : 0.32265728130340576, test_acc(top1) : 89.72000122070312, 
Epoch : 98, lr : 0.003125, epoch_time : 2.849757134914398, train_loss : 0.1539176106452942, train_acc(top1) : 94.66600036621094, test_loss : 0.32069484996795655, test_acc(top1) : 89.87000274658203, 
Epoch : 99, lr : 0.003125, epoch_time : 2.852042293548584, train_loss : 0.08016066253185272, train_acc(top1) : 94.697998046875, test_loss : 0.321586815738678, test_acc(top1) : 89.38999938964844, 
Epoch : 100, lr : 0.003125, epoch_time : 2.8494561473528544, train_loss : 0.12507334351539612, train_acc(top1) : 94.66999816894531, test_loss : 0.34574189071655276, test_acc(top1) : 89.12999725341797, 
Epoch : 101, lr : 0.0015625, epoch_time : 2.853546730677287, train_loss : 0.12420511990785599, train_acc(top1) : 95.16799926757812, test_loss : 0.3241640236854553, test_acc(top1) : 89.8499984741211, 
Epoch : 102, lr : 0.0015625, epoch_time : 2.8512671987215676, train_loss : 0.20421423017978668, train_acc(top1) : 95.40399932861328, test_loss : 0.321144402217865, test_acc(top1) : 89.9000015258789, 
Epoch : 103, lr : 0.0015625, epoch_time : 2.8477762818336485, train_loss : 0.08800601214170456, train_acc(top1) : 95.6259994506836, test_loss : 0.32405849838256834, test_acc(top1) : 89.91999816894531, 
Epoch : 104, lr : 0.0015625, epoch_time : 2.8478235522905986, train_loss : 0.1763220727443695, train_acc(top1) : 95.51399993896484, test_loss : 0.3139412999153137, test_acc(top1) : 90.19000244140625, 
Epoch : 105, lr : 0.0015625, epoch_time : 2.858443029721578, train_loss : 0.1268974244594574, train_acc(top1) : 95.5260009765625, test_loss : 0.3325246570587158, test_acc(top1) : 89.51000213623047, 
Epoch : 106, lr : 0.0015625, epoch_time : 2.847533186276754, train_loss : 0.06934589147567749, train_acc(top1) : 95.63200378417969, test_loss : 0.3265858017921448, test_acc(top1) : 90.19999694824219, 
Epoch : 107, lr : 0.0015625, epoch_time : 2.842077692349752, train_loss : 0.0621064193546772, train_acc(top1) : 95.62999725341797, test_loss : 0.32038202033042906, test_acc(top1) : 90.12000274658203, 
Epoch : 108, lr : 0.0015625, epoch_time : 2.845133944352468, train_loss : 0.13548356294631958, train_acc(top1) : 95.56400299072266, test_loss : 0.3381122181892395, test_acc(top1) : 89.69999694824219, 
Epoch : 109, lr : 0.00078125, epoch_time : 2.849099314212799, train_loss : 0.259542852640152, train_acc(top1) : 95.96800231933594, test_loss : 0.32643685164451597, test_acc(top1) : 90.0199966430664, 
Epoch : 110, lr : 0.00078125, epoch_time : 2.8473366379737852, train_loss : 0.08317705243825912, train_acc(top1) : 95.93800354003906, test_loss : 0.3175770564079285, test_acc(top1) : 90.12999725341797, 
Epoch : 111, lr : 0.00078125, epoch_time : 2.850857122739156, train_loss : 0.09754551202058792, train_acc(top1) : 96.0999984741211, test_loss : 0.3213793019294739, test_acc(top1) : 90.12999725341797, 
Epoch : 112, lr : 0.00078125, epoch_time : 2.858625090122223, train_loss : 0.14994807541370392, train_acc(top1) : 96.00599670410156, test_loss : 0.32818223791122436, test_acc(top1) : 90.08999633789062, 
Epoch : 113, lr : 0.00078125, epoch_time : 2.8554176012674968, train_loss : 0.04885095730423927, train_acc(top1) : 95.99400329589844, test_loss : 0.3219806440353394, test_acc(top1) : 90.12999725341797, 
Epoch : 114, lr : 0.00078125, epoch_time : 2.850727685292562, train_loss : 0.07817911356687546, train_acc(top1) : 96.0260009765625, test_loss : 0.3262110457420349, test_acc(top1) : 90.06999969482422, 
Epoch : 115, lr : 0.00078125, epoch_time : 2.8511823495229085, train_loss : 0.11858738213777542, train_acc(top1) : 96.09600067138672, test_loss : 0.32591727828979494, test_acc(top1) : 90.01000213623047, 
Epoch : 116, lr : 0.00078125, epoch_time : 2.838875138759613, train_loss : 0.08931238204240799, train_acc(top1) : 96.18399810791016, test_loss : 0.32599453735351563, test_acc(top1) : 89.7300033569336, 
Epoch : 117, lr : 0.000390625, epoch_time : 2.846293779214223, train_loss : 0.062455061823129654, train_acc(top1) : 96.40599822998047, test_loss : 0.32927296357154845, test_acc(top1) : 90.22000122070312, 
Epoch : 118, lr : 0.000390625, epoch_time : 2.851665671666463, train_loss : 0.061694417148828506, train_acc(top1) : 96.25399780273438, test_loss : 0.32781495542526246, test_acc(top1) : 90.1500015258789, 
Epoch : 119, lr : 0.000390625, epoch_time : 2.854249584674835, train_loss : 0.14857621490955353, train_acc(top1) : 96.3479995727539, test_loss : 0.33024817810058593, test_acc(top1) : 90.18000030517578, 
Epoch : 120, lr : 0.000390625, epoch_time : 2.842716562747955, train_loss : 0.08686389774084091, train_acc(top1) : 96.33799743652344, test_loss : 0.33442900915145873, test_acc(top1) : 90.1500015258789, 
Epoch : 121, lr : 0.000390625, epoch_time : 2.8494136452674867, train_loss : 0.14800940454006195, train_acc(top1) : 96.50399780273438, test_loss : 0.32905477995872495, test_acc(top1) : 90.19000244140625, 
Epoch : 122, lr : 0.000390625, epoch_time : 2.8540153741836547, train_loss : 0.16939812898635864, train_acc(top1) : 96.4280014038086, test_loss : 0.33113157844543456, test_acc(top1) : 90.12000274658203, 
Epoch : 123, lr : 0.000390625, epoch_time : 2.848948347568512, train_loss : 0.09158692508935928, train_acc(top1) : 96.50800323486328, test_loss : 0.33465092782974243, test_acc(top1) : 90.01000213623047, 
Epoch : 124, lr : 0.000390625, epoch_time : 2.8515976150830586, train_loss : 0.05622278153896332, train_acc(top1) : 96.47599792480469, test_loss : 0.32521476707458497, test_acc(top1) : 90.0999984741211, 
Epoch : 125, lr : 0.0001953125, epoch_time : 2.853387133280436, train_loss : 0.10152602195739746, train_acc(top1) : 96.41799926757812, test_loss : 0.32903937005996703, test_acc(top1) : 90.16999816894531, 
Epoch : 126, lr : 0.0001953125, epoch_time : 2.8520519018173216, train_loss : 0.10781988501548767, train_acc(top1) : 96.47599792480469, test_loss : 0.32597957763671875, test_acc(top1) : 90.26000213623047, 
Epoch : 127, lr : 0.0001953125, epoch_time : 2.8453309019406636, train_loss : 0.07832269370555878, train_acc(top1) : 96.69000244140625, test_loss : 0.3306200704574585, test_acc(top1) : 90.06999969482422, 
Epoch : 128, lr : 0.0001953125, epoch_time : 2.8500243465105695, train_loss : 0.08623279631137848, train_acc(top1) : 96.4739990234375, test_loss : 0.33140151166915893, test_acc(top1) : 90.19999694824219, 
Epoch : 129, lr : 0.0001953125, epoch_time : 2.8473347226778665, train_loss : 0.05817865952849388, train_acc(top1) : 96.53199768066406, test_loss : 0.3310883816719055, test_acc(top1) : 90.04000091552734, 
Epoch : 130, lr : 0.0001953125, epoch_time : 2.8432309150695803, train_loss : 0.07561740279197693, train_acc(top1) : 96.61599731445312, test_loss : 0.3292089189529419, test_acc(top1) : 90.05999755859375, 
Epoch : 131, lr : 0.0001953125, epoch_time : 2.851240317026774, train_loss : 0.09092719852924347, train_acc(top1) : 96.63800048828125, test_loss : 0.3282213315963745, test_acc(top1) : 90.16000366210938, 
Epoch : 132, lr : 0.0001953125, epoch_time : 2.8460635622342427, train_loss : 0.14125457406044006, train_acc(top1) : 96.53600311279297, test_loss : 0.32999349431991576, test_acc(top1) : 90.31999969482422, 
Epoch : 133, lr : 0.0001, epoch_time : 2.8554370045661925, train_loss : 0.04691659286618233, train_acc(top1) : 96.65599822998047, test_loss : 0.33293168058395384, test_acc(top1) : 90.19000244140625, 
