Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool4_40K', nesterov=True, optimizer='sgd', patience=7, pool=[6], resume=None, seed=719706, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Namespace(activ='tanh', auto_augment=False, batch_size=100, bias=False, checkpoint_freq=0, conv_mode='mb1', cutout=0, dataset=['cifar10'], epochs=200, filters=163, gamma=0.5, history=5, iter=30, learning_rate=0.1, min_lr=0.0001, model='resthrifty', momentum=0.9, n_mini_batch=1, n_params=40000, name='pool4_40K', nesterov=True, optimizer='sgd', patience=7, pool=[6], resume=None, seed=817062, test_batch_size=100, topk=None, weight_decay=0.0005)
Parameters : 39636
Filters : 163
*******
Epoch : 1, lr : 0.1, epoch_time : 3.396101248264313, train_loss : 1.7053853273391724, train_acc(top1) : 44.08000183105469, test_loss : 1.543125676727295, 
Epoch : 44, lr : 0.025, epoch_time : 3.39188601175944, train_loss : 0.3126034140586853, train_acc(top1) : 86.58000183105469, test_loss : 0.38848738441467284, 
Epoch : 45, lr : 0.025, epoch_time : 3.3925955057144166, train_loss : 0.36781224608421326, train_acc(top1) : 84.72000122070312, test_loss : 0.4583510234832764, 
Epoch : 46, lr : 0.0125, epoch_time : 3.391250570615133, train_loss : 0.30705106258392334, train_acc(top1) : 88.98999786376953, test_loss : 0.33217204093933106, 
Epoch : 47, lr : 0.0125, epoch_time : 3.391887589295705, train_loss : 0.4196298122406006, train_acc(top1) : 87.61000061035156, test_loss : 0.36438835067749026, 
Epoch : 48, lr : 0.0125, epoch_time : 3.3921111981074015, train_loss : 0.2752625346183777, train_acc(top1) : 89.06999969482422, test_loss : 0.33462948923110963, 
Epoch : 49, lr : 0.0125, epoch_time : 3.391404366493225, train_loss : 0.38889309763908386, train_acc(top1) : 88.0, test_loss : 0.35914307012557983, 
Epoch : 50, lr : 0.0125, epoch_time : 3.3916651407877603, train_loss : 0.2524990439414978, train_acc(top1) : 88.58999633789062, test_loss : 0.3374562278747559, 
Epoch : 51, lr : 0.0125, epoch_time : 3.3922496954600017, train_loss : 0.33314940333366394, train_acc(top1) : 88.25, test_loss : 0.352174573135376, 
Epoch : 52, lr : 0.0125, epoch_time : 3.390632661183675, train_loss : 0.25755876302719116, train_acc(top1) : 88.33000183105469, test_loss : 0.3456953582763672, 
Epoch : 53, lr : 0.0125, epoch_time : 3.3922717889149983, train_loss : 0.30228331685066223, train_acc(top1) : 88.44999694824219, test_loss : 0.33626235599517823, 
Epoch : 54, lr : 0.0125, epoch_time : 3.390215281645457, train_loss : 0.24898427724838257, train_acc(top1) : 88.44000244140625, test_loss : 0.34451026906967164, 
Epoch : 55, lr : 0.00625, epoch_time : 3.391972323258718, train_loss : 0.1375570446252823, train_acc(top1) : 89.69999694824219, test_loss : 0.3082799151420593, 
Epoch : 56, lr : 0.00625, epoch_time : 3.3916135907173155, train_loss : 0.13431015610694885, train_acc(top1) : 89.16999816894531, test_loss : 0.32670573892593385, 
Epoch : 57, lr : 0.00625, epoch_time : 3.393233823776245, train_loss : 0.21068616211414337, train_acc(top1) : 89.43000030517578, test_loss : 0.32004884872436523, 
Epoch : 58, lr : 0.00625, epoch_time : 3.393683127562205, train_loss : 0.3411984145641327, train_acc(top1) : 89.58999633789062, test_loss : 0.31961946964263915, 
Epoch : 59, lr : 0.00625, epoch_time : 3.3932785749435426, train_loss : 0.09844915568828583, train_acc(top1) : 89.45999908447266, test_loss : 0.3193742851257324, 
Epoch : 60, lr : 0.00625, epoch_time : 3.394517544905345, train_loss : 0.1853628158569336, train_acc(top1) : 89.19999694824219, test_loss : 0.33038150281906126, 
Epoch : 61, lr : 0.00625, epoch_time : 3.393392781416575, train_loss : 0.2573105990886688, train_acc(top1) : 89.43000030517578, test_loss : 0.32075051679611205, 
Epoch : 62, lr : 0.00625, epoch_time : 3.3931723197301227, train_loss : 0.22025169432163239, train_acc(top1) : 89.62999725341797, test_loss : 0.3171115242958069, 
Epoch : 63, lr : 0.00625, epoch_time : 3.393419559796651, train_loss : 0.20951972901821136, train_acc(top1) : 89.41000366210938, test_loss : 0.3175811882019043, 
Epoch : 64, lr : 0.003125, epoch_time : 3.393623185157776, train_loss : 0.29488497972488403, train_acc(top1) : 90.26000213623047, test_loss : 0.29493916120529173, 
Epoch : 65, lr : 0.003125, epoch_time : 3.3940688371658325, train_loss : 0.1560034304857254, train_acc(top1) : 90.11000061035156, test_loss : 0.3004413145065308, 
Epoch : 66, lr : 0.003125, epoch_time : 3.3940319140752155, train_loss : 0.21903486549854279, train_acc(top1) : 89.91000366210938, test_loss : 0.3043179411888123, 
Epoch : 67, lr : 0.003125, epoch_time : 3.394251577059428, train_loss : 0.1735064685344696, train_acc(top1) : 90.20999908447266, test_loss : 0.29527719345092773, 
Epoch : 68, lr : 0.003125, epoch_time : 3.3937007069587706, train_loss : 0.1103677749633789, train_acc(top1) : 90.30999755859375, test_loss : 0.29933897008895877, 
Epoch : 69, lr : 0.003125, epoch_time : 3.3935964663823444, train_loss : 0.2730855345726013, train_acc(top1) : 89.91999816894531, test_loss : 0.30019828300476076, 
Epoch : 70, lr : 0.003125, epoch_time : 3.393722685178121, train_loss : 0.18459142744541168, train_acc(top1) : 90.11000061035156, test_loss : 0.30253384571075437, 
Epoch : 71, lr : 0.003125, epoch_time : 3.393713959058126, train_loss : 0.227222740650177, train_acc(top1) : 90.36000061035156, test_loss : 0.2997139910697937, 
Epoch : 72, lr : 0.003125, epoch_time : 3.394036066532135, train_loss : 0.15497232973575592, train_acc(top1) : 90.13999938964844, test_loss : 0.3025450358390808, 
Epoch : 73, lr : 0.0015625, epoch_time : 3.393843738238017, train_loss : 0.24382400512695312, train_acc(top1) : 90.54000091552734, test_loss : 0.2930513026237488, 
Epoch : 74, lr : 0.0015625, epoch_time : 3.3941176772117614, train_loss : 0.16771507263183594, train_acc(top1) : 90.61000061035156, test_loss : 0.2918535709381104, 
Epoch : 75, lr : 0.0015625, epoch_time : 3.3935468355814615, train_loss : 0.17416183650493622, train_acc(top1) : 90.55000305175781, test_loss : 0.2893039517402649, 
Epoch : 76, lr : 0.0015625, epoch_time : 3.393122406800588, train_loss : 0.13004720211029053, train_acc(top1) : 90.6500015258789, test_loss : 0.289536749458313, 
Epoch : 77, lr : 0.0015625, epoch_time : 3.3935466607411704, train_loss : 0.12502677738666534, train_acc(top1) : 90.77999877929688, test_loss : 0.2935710464477539, 
Epoch : 78, lr : 0.0015625, epoch_time : 3.3936111410458882, train_loss : 0.13669537007808685, train_acc(top1) : 90.77999877929688, test_loss : 0.28862496891021727, 
Epoch : 79, lr : 0.0015625, epoch_time : 3.394177309672038, train_loss : 0.2456352263689041, train_acc(top1) : 90.69000244140625, test_loss : 0.30018174185752866, 
Epoch : 80, lr : 0.0015625, epoch_time : 3.392975187301636, train_loss : 0.12727150321006775, train_acc(top1) : 90.55999755859375, test_loss : 0.2948676328659058, 
Epoch : 81, lr : 0.0015625, epoch_time : 3.3933341542879742, train_loss : 0.07490535080432892, train_acc(top1) : 90.5999984741211, test_loss : 0.29255514326095583, 
Epoch : 82, lr : 0.0015625, epoch_time : 3.3938127477963764, train_loss : 0.15398268401622772, train_acc(top1) : 90.61000061035156, test_loss : 0.2966341897010803, 
Epoch : 83, lr : 0.0015625, epoch_time : 3.394044542312622, train_loss : 0.18235355615615845, train_acc(top1) : 90.62000274658203, test_loss : 0.29251724491119385, 
Epoch : 84, lr : 0.0015625, epoch_time : 3.393499267101288, train_loss : 0.2559685707092285, train_acc(top1) : 90.23999786376953, test_loss : 0.30436946568489076, 
Epoch : 85, lr : 0.0015625, epoch_time : 3.3937835693359375, train_loss : 0.20389753580093384, train_acc(top1) : 90.45999908447266, test_loss : 0.2972053308486938, 
Epoch : 86, lr : 0.0015625, epoch_time : 3.393415868282318, train_loss : 0.13084860146045685, train_acc(top1) : 90.55000305175781, test_loss : 0.2981437138557434, 
Epoch : 87, lr : 0.00078125, epoch_time : 3.392979602018992, train_loss : 0.11504196375608444, train_acc(top1) : 90.87999725341797, test_loss : 0.2896738932132721, 
Epoch : 88, lr : 0.00078125, epoch_time : 3.3942883133888246, train_loss : 0.14644686877727509, train_acc(top1) : 90.79000091552734, test_loss : 0.2926310618400574, 
Epoch : 89, lr : 0.00078125, epoch_time : 3.393975853919983, train_loss : 0.17719073593616486, train_acc(top1) : 90.70999908447266, test_loss : 0.2900776351928711, 
Epoch : 90, lr : 0.00078125, epoch_time : 3.3931921760241193, train_loss : 0.13706305623054504, train_acc(top1) : 90.8499984741211, test_loss : 0.2936228148460388, 
Epoch : 91, lr : 0.00078125, epoch_time : 3.393043911457062, train_loss : 0.16765572130680084, train_acc(top1) : 90.81999969482422, test_loss : 0.29332740745544433, 
Epoch : 92, lr : 0.00078125, epoch_time : 3.392915066083272, train_loss : 0.2645416259765625, train_acc(top1) : 91.01000213623047, test_loss : 0.29065765285491946, 
Epoch : 93, lr : 0.00078125, epoch_time : 3.3929353594779967, train_loss : 0.1258818507194519, train_acc(top1) : 90.77999877929688, test_loss : 0.2921772249221802, 
Epoch : 94, lr : 0.00078125, epoch_time : 3.3938056945800783, train_loss : 0.17198795080184937, train_acc(top1) : 90.6500015258789, test_loss : 0.29339859676361085, 
Epoch : 95, lr : 0.000390625, epoch_time : 3.392785672346751, train_loss : 0.1583072543144226, train_acc(top1) : 90.83999633789062, test_loss : 0.2904169814109802, 
Epoch : 96, lr : 0.000390625, epoch_time : 3.3943467497825623, train_loss : 0.20160159468650818, train_acc(top1) : 90.91999816894531, test_loss : 0.2926578145980835, 
Epoch : 97, lr : 0.000390625, epoch_time : 3.393498130639394, train_loss : 0.09683793783187866, train_acc(top1) : 90.80999755859375, test_loss : 0.2899013529777527, 
Epoch : 98, lr : 0.000390625, epoch_time : 3.393702022234599, train_loss : 0.15948107838630676, train_acc(top1) : 90.80999755859375, test_loss : 0.2902442070960998, 
Epoch : 99, lr : 0.000390625, epoch_time : 3.3933608492215472, train_loss : 0.15601377189159393, train_acc(top1) : 90.63999938964844, test_loss : 0.2920807035446167, 
Epoch : 100, lr : 0.000390625, epoch_time : 3.393750015894572, train_loss : 0.09310924261808395, train_acc(top1) : 90.81999969482422, test_loss : 0.2901697934150696, 
Epoch : 101, lr : 0.000390625, epoch_time : 3.393906505902608, train_loss : 0.10933572798967361, train_acc(top1) : 90.80000305175781, test_loss : 0.2916215440273285, 
Epoch : 102, lr : 0.000390625, epoch_time : 3.3936405301094057, train_loss : 0.20525069534778595, train_acc(top1) : 90.83999633789062, test_loss : 0.289831317615509, 
Epoch : 103, lr : 0.0001953125, epoch_time : 3.3930753072102866, train_loss : 0.23345890641212463, train_acc(top1) : 90.91000366210938, test_loss : 0.29257824649810793, 
Epoch : 104, lr : 0.0001953125, epoch_time : 3.3933932185173035, train_loss : 0.1882467269897461, train_acc(top1) : 90.77999877929688, test_loss : 0.29079152851104734, 
Epoch : 105, lr : 0.0001953125, epoch_time : 3.393609340985616, train_loss : 0.1257113665342331, train_acc(top1) : 90.81999969482422, test_loss : 0.29091695709228516, 
Epoch : 106, lr : 0.0001953125, epoch_time : 3.392928719520569, train_loss : 0.16549190878868103, train_acc(top1) : 90.8499984741211, test_loss : 0.2906619086265564, 
Epoch : 107, lr : 0.0001953125, epoch_time : 3.393100611368815, train_loss : 0.14869841933250427, train_acc(top1) : 90.87000274658203, test_loss : 0.2936360598564148, 
Epoch : 108, lr : 0.0001953125, epoch_time : 3.3941179076830545, train_loss : 0.1025780662894249, train_acc(top1) : 90.66999816894531, test_loss : 0.2918853868484497, 
Epoch : 109, lr : 0.0001953125, epoch_time : 3.3936097542444865, train_loss : 0.1378711760044098, train_acc(top1) : 90.79000091552734, test_loss : 0.2905716491699219, 
Epoch : 110, lr : 0.0001953125, epoch_time : 3.393648958206177, train_loss : 0.1610645055770874, train_acc(top1) : 90.97000122070312, test_loss : 0.2914648955345154, 
Epoch : 111, lr : 0.0001, epoch_time : 3.3945161501566568, train_loss : 0.09150995314121246, train_acc(top1) : 90.83000183105469, test_loss : 0.29058832845687865, 
Epoch : 112, lr : 0.0001, epoch_time : 3.39713503519694, train_loss : 0.181503564119339, train_acc(top1) : 90.97000122070312, test_loss : 0.2908125372886658, 
Epoch : 113, lr : 0.0001, epoch_time : 3.393441657225291, train_loss : 0.07756443321704865, train_acc(top1) : 90.94000244140625, test_loss : 0.2924057439804077, 
Epoch : 114, lr : 0.0001, epoch_time : 3.393420406182607, train_loss : 0.1265912503004074, train_acc(top1) : 90.9000015258789, test_loss : 0.28979836168289186, 
Epoch : 115, lr : 0.0001, epoch_time : 3.3940188964207967, train_loss : 0.16192279756069183, train_acc(top1) : 90.97000122070312, test_loss : 0.2881025819778442, 
Epoch : 116, lr : 0.0001, epoch_time : 3.393894378344218, train_loss : 0.16932673752307892, train_acc(top1) : 90.9000015258789, test_loss : 0.2905269435882568, 
Epoch : 117, lr : 0.0001, epoch_time : 3.3935800393422446, train_loss : 0.11622053384780884, train_acc(top1) : 90.75, test_loss : 0.29173991050720216, 
Epoch : 118, lr : 0.0001, epoch_time : 3.3936988989512127, train_loss : 0.1867293119430542, train_acc(top1) : 90.87000274658203, test_loss : 0.290649621295929, 
Epoch : 119, lr : 0.0001, epoch_time : 3.393027075131734, train_loss : 0.15245172381401062, train_acc(top1) : 90.86000061035156, test_loss : 0.29155567684173583, 
Epoch : 120, lr : 0.0001, epoch_time : 3.3942667404810587, train_loss : 0.10746972262859344, train_acc(top1) : 90.9000015258789, test_loss : 0.29160619163513185, 
Epoch : 121, lr : 0.0001, epoch_time : 3.393594177563985, train_loss : 0.1614636480808258, train_acc(top1) : 90.8499984741211, test_loss : 0.2894564978599548, 
Epoch : 122, lr : 0.0001, epoch_time : 3.3943028966585795, train_loss : 0.23694771528244019, train_acc(top1) : 90.83000183105469, test_loss : 0.2915253964424133, 
Epoch : 123, lr : 0.0001, epoch_time : 3.393660255273183, train_loss : 0.10494372993707657, train_acc(top1) : 90.81999969482422, test_loss : 0.29073936252593996, 
Epoch : 124, lr : 0.0001, epoch_time : 3.3935968478520713, train_loss : 0.18537254631519318, train_acc(top1) : 90.91999816894531, test_loss : 0.29088526344299315, 
